cod_empresa,idcustomer,fecha,idarticle,unidades,ventas_(€),costamount,idpaymentmethod,documento,codcustomer,cliente,codvouchertype,tipoasiento,codproductline,macrofamilia,codproductfamily,familia,codproductsubfamily,subfamilia,year,month,month_name,presupuesto_mes,dif_ventas_presupuesto,ratio_ventas_presupuesto
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.01753390845758791,52.98246609154241,3022.714537845321
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.05698280376980583,52.943017196230194,930.1051632016
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.04462046009640182,52.955379539903596,1187.7959098918818
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.007849695590580217,52.99215030440942,6751.8541819126085
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.1400863661812305,52.85991363381877,378.33803135012874
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.1384392171169032,52.861560782883096,382.8394952222594
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.002884639438600652,52.9971153605614,18373.180124622602
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.04225851785890092,52.9577414821411,1254.1850184373327
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.1890364373868353,52.81096356261317,280.36922792584846
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.03767246083815203,52.96232753916185,1406.8632316773242
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.07040943839216185,52.92959056160784,752.7399906927832
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.02979871326662513,52.97020128673338,1778.600288065477
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.003448892479683648,52.99655110752032,15367.25204169353
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.09199415904022627,52.908005840959774,576.123533852021
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.03893485615390168,52.9610651438461,1361.248126627247
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.004646146633521819,52.99535385336648,11407.30247676784
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.1147528011562299,52.88524719884377,461.86236384629325
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.04671671239420953,52.95328328760579,1134.4976408607315
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.01088350537337522,52.98911649462662,4869.754567279045
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.07340452369701993,52.92659547630298,722.0263456617414
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.1314784495893972,52.868521550410605,403.1078869998637
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.7426255648321185,52.25737443516788,71.36840220681258
5,005-003623,2024-12-31,005-ecb0127,1.0,53.0,36.55,005-87-1,24S120087,3623,"MARISCOS DAPORTA; S,L,",10,VENTAS NACIONALES,MF8,Maquinaria y SAT,F35,Consumibles SAT,ECB,REPUESTOS ECONOMY BAG,2024,12,2024-12,0.1844579163897639,52.81554208361024,287.3284109314656
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.03285048387918769,283.3671495161208,8626.96577140975
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.06515081049250475,283.33484918950745,4349.907512395469
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.1067229554009236,283.29327704459905,2655.473688255333
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.08634361575763516,283.31365638424234,3282.234563763211
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.2847721452134215,283.11522785478655,995.18160312908
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.08927423897796569,283.310725761022,3174.487996139039
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.2258561657361013,283.1741438342639,1254.7808871028788
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.07610750474347883,283.3238924952565,3723.680088516931
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.08495420787539494,283.3150457921246,3335.9148073709525
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.07817493409556704,283.3218250659044,3625.2029282627864
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.01792699380309597,283.3820730061969,15808.562389922683
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.1215179447955868,283.2784820552044,2332.1658416518276
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.003404721099283662,283.3965952789007,83237.36122163606
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.04412012423528169,283.3558798757647,6423.372665242237
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.01757922879918389,283.38242077120077,16121.298791739755
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.09952587801735968,283.30047412198263,2847.500626425705
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.04483019838078276,283.3551698016192,6321.631628591773
21,cf120b8c-3216-4c79-9138-5fc8a6e8ac42,2024-08-09,40f44bd8-44d8-4fc9-b55c-c62d9e53cdfe,10.0,283.4,188.0,021-6,24A080033,7137,"RONAUTICA QUALITY MARINAS; S,L,U,",10,VENTAS NACIONALES,MFR04,Marine,FR04B,Nautica Deportiva,ND2,COMPLEMENTOS PANTALANES,2024,8,2024-08,0.09255466989740213,283.30744533010255,3061.974077744019
